Name,F.year,Address,States,City,County,Type
IOWA Asian Alliance,2002," 3816 Ingersoll Avenue Des Moines, Iowa, 50312",IA,DES MOINES,POLK,CBO
Asian and Pacific Islander American Health Forum,1986,"1 Kaiser Plz Ste 850 Oakland, CA 94612",CA,OAKLAND,ALAMEDA,Advocacy
Boston Asian American Services,2008,"1 Kelly Way, Canton, MA, 02021-2786",MA,CANTON,NORFOLK,CBO
APA Family Support Services,1987,"10 Nottingham Place, San Francisco, CA 94133",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Asian Services of Indiana,2004,"10 WEST MARKET STREET, SUITE 700, INDIANAPOLIS, IN, 46204",IN,INDIANAPOLIS,MARION,CBO
Asian Youth Center,1989,"100 Clary Ave, San Gabriel, CA 91776",CA,SAN GABRIEL,LOS ANGELES,CBO
Asian Health Foundation,2007,"100 WALNUT AVE STE 103, CLARK , NJ 07066",NJ,CLARK,UNION,CBO
Asian American Alliance,1999,"1000 East 116th Street Carmel, IN 46032 ",IN,CARMEL,HAMILTON,CBO
Asian Pacific American Institute for Congressional Studies,1994,"1001 Connecticut Ave NW, Suite 320, Washington, DC 20036 ",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
Asian Health Services,1974,"101 8th Street, Suite 101 Oakland, CA 94607",CA,OAKLAND,ALAMEDA,Hybrid
Association of Asian-Pacific Community Health Organizations,1987,"101 Callan Avenue Suite 400 San Leandro, CA 94577",CA,SAN LEANDRO,ALAMEDA,Hybrid
Chinese Mutual Aid Association,1981,"1016 West Argyle Street Chicago, IL 60640",IL,CHICAGO,COOK,CBO
Asian Americans United,1985,"1023 Callowhill Street, Philadelphia, PA 19123",PA,PHILADELPHIA,PHILADELPHIA,Advocacy
Asian Community Development Council,2012,"1027 SOUTH RAINBOW BLVD ROOM 253, LAS VEGAS, NV 89145",NV,LAS VEGAS,CLARK,Hybrid
Asian American Leadership Endowment and Development for Youth and Family,1998,"1029 Vermont Avenue NW Suite 810, Washington, DC 20005",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
Union of Pan Asian Communities,1974,"1031 25th St, San Diego",CA,SAN DIEGO,SAN DIEGO,CBO
Chinatown Youth Center,1970,"1038 Post Street San Francisco, CA 94109",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Asian Task Force Against Domestic Violence,1992,"105 Chauncy St Ste 7 Boston, MA 02111-1759 ",MA,BOSTON,SUFFOLK,CBO
Asian Pacific Revolving Loan Fund,1995,"1055 Wilshire Blvd, Suite 900C, Los Angeles, California 90017",CA,LOS ANGELES,LOS ANGELES,CBO
Pacific Asian Consortium in Employment,1976,"1055 Wilshire Blvd., Suite 1475 Los Angeles, CA 90177",CA,LOS ANGELES,LOS ANGELES,CBO
Asian American Legal Foundation,2013,"11 MALTA DR,SAN FRANCISCO , CA 94131",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy
Asian Community Health Coalition,2000,"1104 Buttonwood St, Philadelphia, PA 19123",PA,PHILADELPHIA,PHILADELPHIA,CBO
Asian Community Cancer Coalition,2004,"1106 BUTTONWOOD ST, PHILADELPHIA, PA 19123",PA,PHILADELPHIA,PHILADELPHIA,CBO
Asian Americans for Equality,1974,"111 Division St, New York, NY 1000",NY,NEW YORK,NEW YORK,Hybrid
Southeast Asian Refugee Community Home,1992,"1113 E Franklin Ave, Ste 212 Minneapolis, Minnesota",MN,MINNEAPOLIS,HENNEPIN,CBO
Asian Pacific Islander Legal Outreach,1975,"1121 Mission Street, San Francisco, CA 94103",CA,SAN FRANCISCO,SAN FRANCISCO,Hybrid
Asian American Resource Center,1995,"1133 S E St, San Bernardino, CA 92408",TX,SAN BERNARDINO,SAN BERNARDINO,CBO
Asian Pacific Islanders Equality - Los Angeles,2005,"1137 Wilshire Blvd #101, Los Angeles, CA 90017",CA,LOS ANGELES,LOS ANGELES,Advocacy
Empowering Pacific Islander Communities,2009,"1137 Wilshire Blvd. Suite 110 Los Angeles, CA 90017",CA,LOS ANGELES,LOS ANGELES,Advocacy
Asian Pacific Community Fund of Southern California,1990,"1145 Wilshire Blvd #105, Los Angeles, CA 90017",CA,LOS ANGELES,LOS ANGELES,CBO
"Asian Americans advancing Justice - LA (the Asian Pacific Americans Legal Center, Advancing Justice - LA)",1983,"1145 Wilshire Blvd, Los Angeles, CA 90017",CA,LOS ANGELES,LOS ANGELES,Hybrid
Asian Pacific American Dispute Resolution Center,1989,"1145 Wilshire Blvd,Los Angeles, CA 90017",CA,LOS ANGELES,LOS ANGELES,CBO
Asian American Senior Social Services Foundation,2016,"11500 N STEMMONS FWY, DALLAS, TX 75229",TX,DALLAS,DALLAS,CBO
Asian Inc.,1971,"1167 Mission St, San Francisco, CA 94103",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
National Asian American Pacific Islanders Mental Health Association,2000,"1215 19th Street Suite A, Denver, Colorado 80202",CO,DENVER,DENVER,CBO
Asian American Homeownership Counseling,2010,"12320 Parklawn Dr, Rockville, MD 20852",MD,ROCKVILLE,MONTGOMERY,CBO
Asian Pacific Islander Youth Promoting Avocacy and Leadership,1998,"1238 Harrison Street Oakland, CA 94612",CA,OAKLAND,ALAMEDA,CBO
Asian Neighborhood Design,1973,"1245 Howard St, San Francisco, California 94103",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Asian Pacific Development Center,1980,"1250 Chambers Road Room 2403, Aurora, CO 80011",CO,AURORA,ARAPAHOE,CBO
Asian American Education Association,2014,"12638 ENGLISH ORCHARD CT, SILVER SPRING, MD 20906",MD,SILVER SPRING,MONTGOMERY,CBO
New Mexico Asian Family Center,2007,"128 Quincy St NE, Albuquerque, NM-87108",NM,ALBUQUERQUE,BERNALILLO,CBO
Orange County Asian and Pacific Islander Community Alliance,1997,"12900 Garden Grove Blvd., Suite 214A, Garden Grove, CA 92843",CA,GARDEN GROVE,ORANGE,CBO
Asian Community Care Foundation,2004,"13212 Jacarte CT, San Diego , CA 92130",CA,SAN DIEGO,SAN DIEGO,CBO
Organization of Chinese Americans,1973,"1322 18th Street, NW, Washington, DC 20036 ",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
On Lok Senior Health Services,1971,"1333 Bush Street San Francisco, CA 94109",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Asian American Anti Smoking Foundation,2001,"13415 QUEENSTOWN LN,GERMANTOWN, MD 20874",MD,GERMANTOWN,MONTGOMERY,CBO
Asian American Youth Center,1998,"135 Grand Street, 2nd floor, Manhattan, NY,10013",NY,NEW YORK,NEW YORK,CBO
Asian American Housing Development Fund Company,1987,"141 NORFOLK ST, NEW YORK, NY 10002-2374",NY,NEW YORK,NEW YORK,CBO
Asian Pacific Islander Community Leadership Foundation,1998,"1414 S. Weller St. Seattle, WA 98144",WA,SEATTLE,KING,CBO
Asian Women and Children Centers,2002,"1415 N ROSA PARKS WAY PORTLAND, OR 97217",OR,PORTLAND,MULTNOMAH,CBO
South Asian Council for Social Services,2000,"143-06 45th Avenue, Flushing, New York 11355",NY,NEW YORK,NEW YORK,Hybrid
Asian Community and Cultural Center,1992,"144 N 44th Street, Suite A, Lincoln, NE 68503",NE,LINCOLN,LANCASTER,CBO
Asian Center,1994,"1444 Michigan St NE # 4, Grand Rapids, MI 49503",MI,GRAND RAPIDS,KENT,CBO
Asian Healthcare Foundation of Massachusetts,2007,"145 SOUTH STREET, BOSTON, MA 02111",MA,BOSTON,SUFFOLK,CBO
National Asian American Coalition,2004,"15 Southgate Ave Ste 200 Daly City, CA 94015",CA,DALY CITY,SAN MATEO,CBO
Chinese-American Planning Council,1965,"150 Elizabeth St, New York, NY 10012",NY,NEW YORK,NEW YORK,CBO
Quincy Asian Resources,2001,"1509 Hancock St 209, Quincy, MA 02169-5242 ",MA,QUINCY,NORFOLK,CBO
National Asian Pacific Center on Aging,1979,"1511 Third Avenue Suite 914, Seattle, Washington 98101-1626",WA,SEATTLE,KING,Hybrid
Asian American Organizing Project,2013,"1535 Glenwood Avenue,Minneapolis, MN 55405",MN,MINNEAPOLIS,HENNEPIN,Advocacy
Asian Association of Utah,1977,"155 South 300 West, Salt Lake City, UT 84101 USA",UT,SALT LAKE CITY,SALT LAKE,CBO
National Asian Pacific American Bar Association,1988,"1612 K St NW #1400, Washington, DC 20006",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
Asian and Pacific Islander American Vote,1996,"1612 K St. NW, Ste. 510 Washington, DC 20006",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
South Asian American Voices for Impact Saavi,2013,"1616 Delancy Circle,Canton, MI 48188",MI,CANTON,WAYNE,Advocacy
Asian and Pacific Islander Caucus for Public Health,1974,"16161 Ventura Boulevard Suite 388, Encino, CA 91436 USA",CA,ENCINO,LOS ANGELES,CBO
Asian Americans Advancing Justice (AAJC; Asian American Justice Center),1991,"1620 L St. NW, Suite 1050, Washington, DC 20036",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
Asian Pacific American Legal Resource Center,1998,"1627 K St NW #610, Washington, DC 20006",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Hybrid
National Council of Asian Pacific Americans,1996,"1629 K St NW #400, Washington, DC 20006",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
Family Bridges,1968,"168 11th Street, Oakland, CA 94607",CA,OAKLAND,ALAMEDA,CBO
Asian Pacific Islanders Equality - Northern California,2004,"17 Walter U Lum Pl, San Francisco, CA 94108",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy
Chinese for Affirmative Action,1969,"17 Walter U Lum Pl, San Francisco, CA 94108",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy
South Asian Helpline and Referral Agency,1991,"17100 Pioneer Blvd., Suite 260, Artesia, CA 90701",CA,ARTESIA,LOS ANGELES,CBO
Aids Services in Asian Communities,1995,"1711 S Broad St,Philadelphia, PA 19148",PA,PHILADELPHIA,PHILADELPHIA,CBO
Southeast Asian Mutual Assistance Associations Coalition,1984,"1711 S Broad St. Philadelphia, PA 19148-1505 
",PA,PHILADELPHIA,PHILADELPHIA,CBO
Asian Community Support Services Center,1983,"1714 Tannehill Dr, Houston, TX 77008",TX,HOUSTON,HARRIS,CBO
Asian Pacific AIDS Intervention Team,1987,"1730 W. Olympic Blvd. Suite #300 (3rd Floor) Los Angeles, CA 90015",CA,LOS ANGELES,LOS ANGELES,CBO
National Asian Pacific American Womens Forum,1995,"1735 Caton Ave Brooklyn, New York",NY,BROOKLYN,BROOKLYN,Advocacy
Center for Asian Pacific American Women,1996,"1750 Montgomery St San Francisco, CA 94111-1000",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Alliance of South Asian Youth,2013,"1760 LILBET RD,TEANECK, NJ 07666",NJ,TEANECK,BERGEN,CBO
Japanese American Citizens League,1929,"1765 Sutter St San Francisco, CA 94115 USA",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy
Asian Pacific Health Care Venture,1986,"180 Union Place Los Angeles, CA 90026",CA,LOS ANGELES,LOS ANGELES,CBO
Asian Health Coalition,1996,"180 W Washington St, Suite 1000, Chicago IL 60602",IL,CHICAGO,COOK,Hybrid
South Asian Network,1990,"18173 Pioneer Blvd Suite I, Artesia, CA 90701",CA,ARTESIA,LOS ANGELES,Hybrid
East Bay Asian Local Development Corporation,1975,"1825 San Pablo Suite 200, Oakland, CA 94612",CA,OAKLAND,ALAMEDA,CBO
Southeast Asian Community Council,1986,"1827 44th Ave N Minneapolis, MN 55412-1207",MN,MINNEAPOLIS,HENNEPIN,CBO
Asian American Community Service Council,1996,"1881 BRANDYWINE DR,COLUMBUS , OH 43220",OH,COLUMBUS,FRANKLIN,CBO
Asian Family Services,1996,"1921 Park St Hartford, CT 06106",CT,HARTFORD,HARTFORD,CBO
Heart of Hope Asian American Hospice Care,2013,"1922 The Alameda, Suite 215, San Jose, CA 95126",CA,SAN JOSE,SANTA CLARA,CBO
Minnesota Chinese Health Center,2004,"1925 West County Road B2 Roseville, MN 55113",MN,ROSEVILLE,RAMSEY,CBO
Boston Asian Youth Essential Services,1975,"199 Harrison Avenue, Boston, MA 02111",MA,BOSTON,SUFFOLK,CBO
Asian and Pacific Islander Community Improvement Association,1999,"2005 SE SE 82ND AVE STE 5, PORTLAND, OR 97216",OR,PORTLAND,MULTNOMAH,CBO
Montana Asian American Center,1998,"202 Brooks St., inside St. Paul's Lutheran Church, Missoula, 59801",MT,MONTANA,MISSOULA,CBO
East Bay Asian Youth Center,1976,"2025 East 12th Street Oakland, CA 94606",CA,OAKLAND,ALAMEDA,CBO
Asian Pacific Islander Scholarship Fund,2003,"2025 M St NW, Ste 610 Washington, District of Columbia 20036",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
Asian American Voter Project,1990,"205 13th st, San Francisco, CA 94103",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy
Asian and Pacific Islander American Education Foundation,2014,"2102 RINGWOOD AVE,SAN JOSE, CA 95131",CA,SAN JOSE,SANTA CLARA,CBO
Asian American Community Alliance,2003,"2114 FRANKLIN DR, ARLINGTON , TX 76011",TX,ARLINGTON,TARRANT,Advocacy
Asian American Bone Marrow Foundation,2000,"212 Astoria Rd, Springfield, IL 62704",IL,SPRINGFIELD,SANGAMON,CBO
Asian American Economic Development Enterprises,1977,"216 Garvey Ave # E, Monterey Park, CA 91754",CA,MONTEREY PARK,LOS ANGELES,CBO
Asian American Recovery Services,1967,"2166 Hayes St #206, San Francisco, CA 94117",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Asian American Donor Program,1989,"2169 Harbor Bay Pkwy, Alameda, CA 94502",CA,ALAMEDA,ALAMEDA,CBO
Kokua Kalihi Valley,1972,"2239 N School St. Honolulu, HI 96819",HI,HONOLULU,HONOLULU,CBO
Midwest Asian Health Assoctation - MAHA,2003,"230 W. Cermak Rd, 2nd Floor Chicago, IL 60616",IL,CHICAGO,COOK,CBO
Asian Pacific Islander Small Business Program,1999,"231 E Third St Los Angeles, CA 90013-1494",CA,LOS ANGELES,LOS ANGELES,CBO
Little Tokyo Service Center,1979,"231 E. Third St., Suite G-106, Los Angeles, CA 90013",CA,LOS ANGELES,LOS ANGELES,CBO
National Queer Asian Pacific Islander Alliance,2007,233 Fifth Avenue Suite 4A New York NY 10016,NY,NEW YORK,NEW YORK,Advocacy
Asian Americans for Community Involvement,1976,"2400 Moorpark Avenue Suite 300,San Jose, CA 95128 USA",CA,SAN JOSE,SANTA CLARA,Hybrid
Asian Media Access,1992,"2418 Plymouth Ave N, Minneapolis, MN 55411",MN,MINNEAPOLIS,HENNEPIN,Hybrid
Asian Pacific Womens Center,1998,"244 S. San Pedro St Suite 504 Los Angeles, 90012",CA,LOS ANGELES,LOS ANGELES,CBO
Asian American Council,2009,"25 E FORAKER ST,DAYTON, OH 45409",OH,DAYTON,MONTGOMERY,Hybrid
National Asian Womens Health Organization,1993,"250 Montgomery Street, Suite1500, San Francisco, CA 94104",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy
Midwest Asian American Center,1998,"2534 W Devon Ave, Chicago, IL 60659",IL,CHICAGO,COOK,CBO
Community Health for Asian Americans,1997,"255 International Boulevard, Oakland, CA 94606",CA,OAKLAND,ALAMEDA,CBO
Asian American Christian Counselling Service,1986,"2550 W Main St #202, Alhambra, CA 91801 ",CA,ALHAMBRA,LOS ANGELES,CBO
Center for Asian Americans United for Self Empowerment,1993,"260 So. Los Robles Ave., No. 115, Pasadena, CA 91101",CA,PASADENA,LOS ANGELES,Advocacy
Charles B. Wang Community Health Center,1971,"268 Canal Street, 6th Floor New York, NY, 10013",NY,NEW YORK,NEW YORK,CBO
Asian Evergreen Housing Corporation,1996,"26949 CHAGRIN BLVD STE 208 BEACHWOOD, OH 44122",OH,BEACHWOOD,CUYAHOGA,CBO
Pacific Asian Empowerment Program,1986,"270 So. Hanford Street, Suite 204 Seattle, WA 98134 ",WA,SEATTLE,KING,CBO
TOFA,2000,"2730 Florin Rd. Sacramento, CA 95822",CA,SACRAMENTO,SACRAMENTO,Hybrid
Asian Pacific American Network of Oregon,1996,"2788 SE 82nd Ave #203, Portland, OR 97266",OR,PORTLAND,MULTNOMAH,Hybrid
Asian American Institute for Research and Education,1997,"2800 Koppers Building, 436 Seventh Avenue, Pittsburgh, PA 15219-1818",PA,PITTSBURGH,ALLEGHENY,CBO
National Association for Asian and Pacific American Education,1977,"28905 Golden Meadow Dr, Rancho Palos Verdes, CA 90275",CA,RANCHO PALOS VERDES,LOS ANGELES,Hybrid
Asian Outreach Services,2015,"290 BROKAW RD,SANTA CLARA, CA 95050",CA,SAN JOSE,SANTA CLARA,CBO
Asian American Drug Abuse Program,1972,"2900 S. Crenshaw Blvd, Los Angeles, CA 90016",CA,LOS ANGELES,LOS ANGELES,CBO
Chinatown Youth Center Initiative,2011,"299 13th Street, Oakland, CA 94612",CA,OAKLAND,ALAMEDA,CBO
Asian Americans/Pacific Islanders in Philanthropy,1990,"300 Frank H. Ogawa Plaza, Suite 256, Oakland CA 94612",CA,OAKLAND,ALAMEDA,Hybrid
Asian Communities for Reproductive Justice,1989,"300 Frank H. Ogawa Plaza, Suite 700, Oakland, CA 94612 ",CA,OAKLAND,ALAMEDA,CBO
Philadelphia Chinatown Development Corporation,1969,"301-305 North 9th Street Philadelphia, PA 19107",PA,PHILADELPHIA,PHILADELPHIA,Hybrid
Asian Pacific Islander Queer Sacramento Coalition,2015,"3039 Twitchell Island Rd, West Sacramento, CA, 95691-5929",CA,SACRAMENTO,SACRAMENTO,CBO
Asian Immigrant Women Advocates,1983,"310 8th Street #301 Oakland, CA 94607",CA,OAKLAND,ALAMEDA,Advocacy
Asian Community Mental Health Board,1974,"310 8th Street, Suite 201 Oakland, CA 94607",CA,OAKLAND,ALAMEDA,CBO
International District Improvement Association,1969,"310 Maynard Ave South, Seattle, WA 98104 ",WA,SEATTLE,KING,Hybrid
Asian Youth Services,1992,"3117 W. Lawrence Chicago, IL 60625",IL,CHICAGO,COOK,CBO
United Asian Services of Wisconsin,1984,"312 N. Third St. Madison, WI, 53704",WI,MADISON,DANE,CBO
New York Asian Women's Center,1982,"32 Broadway, 10th Floor New York, NY 10004",NY,NEW YORK,NEW YORK,CBO
Massachusetts Asian AIDS Prevention Project,1993,"322 Tremont St Boston, MA 02116",MA,BOSTON,SUFFOLK,CBO
NAMI Asian Pacific Los Angeles,1986,"3250 Wilshire Blvd., Suite 1501 Los Angeles , CA 90010 ",CA,LOS ANGELES,LOS ANGELES,Hybrid
Asian Pacific Community in Action,2002,"326 E Coronado Road, Suite 200, Phoenix, AZ 85004",AZ,PHOENIX,MARICOPA,CBO
Leadership Education for Asian Pacific,1982,"327 E. 2nd Street, Suite 226 Los Angeles, CA 90012",CA,LOS ANGELES,LOS ANGELES,CBO
Asian American Civic Organization,2013,"334 HUNTERS RUN DR, BEL AIR, MD 21015",MD,BEL AIR,HARFORD,CBO
National Asian Pacific American Families Against Substance Abuse,1988,"340 E 2nd St #409, Los Angeles, CA 90012",CA,LOS ANGELES,LOS ANGELES,CBO
Asian Pacific Americans for Progress,2004,"340 S Lemon Ave, Unit 5588, Walnut ",CA,WALNUT,LOS ANGELES,Hybrid
Center for the Pacific Asian Family,1978,"3424 Wilshire Blvd., Suite #1000 Los Angeles, CA 90010",CA,LOS ANGELES,LOS ANGELES,CBO
