Name,F.year,Incorporated,Panethnic,Panethnic notes,Address,Source,Website1,Website2,Website3,Contacted,
Association For The Advancement Of Mexican Americans,1970,0,1,empower Latinos to pursue their potential,"6001 Gulf Freeway, Bldg. E, Houston, TX 77023",National Directory of Nonprofit Organizations,https://www.aama.org,,,,
Centro Cultural Chicano,1974,0,1,Latino,"1915 Chicago Avenue, Minneapolis, MN 55404",National Directory of Nonprofit Organizations,http://www.centromn.org/,,,,
Chicana Foundation of Northern California,1984,1,1,,,,,,,,
Chicana Service Action Center,1972,0,1,,"3601 E 1st St, Los Angeles, CA 90063",National Directory of Nonprofit Organizations,,,https://www.library.ucsb.edu/special-collections/cema/cfmn,,
Chicano and Latino Youth Leadership Project,1982,0,1,Chicano and Latino,"1130 K Street, LL80, Sacramento, CA 95814",National Directory of Nonprofit Organizations,https://www.clylp.org,,https://web.archive.org/web/20091225141525/http://www.clylp.com/s/107/start.aspx,,
Chicano-A Latino-A Educational Foundation,2012,1,1,,,,,,,,
Chicano awareness center,1972,1,1,,,,,,,,
Chicano Federation of San Diego County,1968,0,1,helps all ethnicities and 50% Latino,"3180 University Ave Suite 317 San Diego, CA 92104-2074",National Directory of Nonprofit Organizations,,,https://oac.cdlib.org/findaid/ark:/13030/kt787036bc/,,
Chicano Research Center,2015,0,1,,,,,,,,
Chicano Youth Center,1978,0,1,,,,,,,,
Chicano-A Latino-A Educational Foundation,2012,1,1,,,,,,,,
Hampton Roads Mexican American Club San Antonio,2000,0,0,"Does not specify ethnicity, but makes it open to any veteran and provides job search help","6718 Westfield Blvd, San Antonio, Texas 78227",National Directory of Nonprofit Organizations,http://www.hrmacsa.org,,,,
Hispanic Women's Organization of Arkansas,1999,0,1,predominantly Hispanic but members come from many backgrounds,"614 E. Emma Suite 231, Springdale, AR 72766",Encyclopedia of Associations,http://www.hwoa.org/,,,,
Fresno County League of Mexican American Women,1973,0,1,Latina-serving communities,"1630 Van Ness Ave, Fresno, California 93721",National Directory of Nonprofit Organizations,http://fresnocountylmaw.org,,,,
Los Angeles County Chicano Employees Association,1969,0,1,Latino community,"1848 Allen Ave, Pasadena, CA 91104",National Directory of Nonprofit Organizations,https://www.lacountychicano.org,,https://oac.cdlib.org/findaid/ark:/13030/kt3d5nf1vf/,,
Mexican American Alcoholism Program,1975,0,1,multi-ethnic,"4241 Florin Road, Suite 110 Sacramento, CA 95823",National Directory of Nonprofit Organizations,,,http://www.dhhs.saccounty.net/BHS/Documents/Advisory-Boards-Committees/Alcohol-Drug-Services-Advisory-Board/MN-2011-03-02-ADS-Advisory-Board-Minutes.pdf,,
Mexican American Community Services Agency,1964,0,1,advance interests of Latino community,"660 Sinclair Dr, San Jose, CA 95116",National Directory of Nonprofit Organizations,,,https://books.google.com/books?id=Wacm-XKHz3gC&pg=PA286&lpg=PA286&dq=%22Mexican+American+Community+Services+Agency%22+founded&source=bl&ots=FN4_2-Ix9w&sig=BDpMtSmpK78g_dxCs1u_FhG7I64&hl=en&sa=X&ved=2ahUKEwjjtYz84sPeAhUIK3wKHcgMCsgQ6AEwCXoECAQQAQ#v=onepage&q=%22Mexican%20American%20Community%20Services%20Agency%22%20founded&f=false,,
Mexican American Concilio of Yolo,1970,0,1,Latino heritage,"P.O Box 879, Woodland, Ca 95776",National Directory of Nonprofit Organizations,,,https://www.congress.gov/crec/2018/07/12/modified/CREC-2018-07-12-pt1-PgE1006-4.htm,,
Mexican American Council,1982,0,1,Not specific but helps out farm worker families,"151 NW 11 Street Suite 400 E, Homestead, Florida 33030",National Directory of Nonprofit Organizations,,,https://www.prweb.com/releases/2016/09/prweb13678444.htm,1,
Mexican American Development Association,1971,0,1,all low income residents... regardless of cultural background,"17 North 6th Street, Montrose, CO 81401",National Directory of Nonprofit Organizations,,,https://www.scribd.com/document/45363082/Bishnu-Krishna-Stories-From-Nepal-in-the-Western-Colorodao-in-the-US,,
Mexican American Educational Advisory Committee,1971,0,0,,"PO BOX 16166, FORT WORTH, TX 76162",National Directory of Nonprofit Organizations,,,https://www.scribd.com/document/351320620/Carlos-Eliseo-Cuellar-Stories-From-the-Barrio-a-History-of-Mexican-Fort-Worth-3246,,
Mexican American Opportunity Foundation,1963,0,1,Latino-oriented,"401 N. Garfield Avenue, Montebello, CA 90640",National Directory of Nonprofit Organizations,http://www.maof.org,,,,
Mexican American Research Center,1974,0,0,,"2400 E Oltorf St Ste 11, Austin, TX 78741",National Directory of Nonprofit Organizations,,,http://www.laits.utexas.edu/onda_latina/program?sernum=MAE_82_24_mp3&theme=Business,,
Mexican American Unity Council,1967,1,0,,"2300 W Commerce, Suite 200, San Antonio, Texas 78207",National Directory of Nonprofit Organizations,https://www.mauc.org,,,1,"i asked for the founding year, but they only gave me the incorporation year."
Mexican Association of Perth Amboy,2004,0,1,Mexicans and Hispanic residents,"131 Patterson St, Perth Amboy, NJ 08861",National Directory of Nonprofit Organizations,,,https://www.facebook.com/pg/mapa.org/about/?ref=page_internal,,
Mexican Benefit Corporation,1932,0,0,,"2900 CALLE PEDRO INFANTE, LOS ANGELES, CA 90063",National Directory of Nonprofit Organizations,,,https://larayueladejavier.wordpress.com/2014/08/15/the-lost-moral-compass-of-a-harvard-mexican-councilman-part-i/,,
Mexican Civic Society of Illinois,1969,0,0,,"3760 W 38th St, Chicago, IL 60632",National Directory of Nonprofit Organizations,,,https://web.archive.org/web/20030611162002/http://www.sociedadcivicamexicana.org:80/,,
Mexican Coalition for The Empowerment of Youth And Families,2003,1,1,Latin American and Mexican American communities,"10 East 39th Street, Office 1119, New York, NY 10016",National Directory of Nonprofit Organizations,,,,1,"Still waiting on a response. They told me 2003, but I wanted to make sure that was indeed the founding year. It is different than what's listed on the Excel sheet, which is 2014"
Mexican Institute of Greater Houston,1991,0,1,"members of different minority groups, mostly the Hispanic community","4601 Caroline Street, Houston, Texas 77004",National Directory of Nonprofit Organizations,http://www.mexicaninstitute.org,,Graduation Newsletter - DonorHouston https://donorhouston.guidestar.org/ViewEdoc.aspx?eDocId=3511703&approved...,,
Mexican Patriotic Committee,1980,0,1,Hispanic community,"760 N. Eastern Ave., Las Vegas, NV 89101",National Directory of Nonprofit Organizations,,,https://web.archive.org/web/20100623130355/http://mpclv.org:80/,,
Latin Women's Initiative,1997,0,1,changed name from Mexican to Latin,"112 W. 4th Street, Houston, Texas 77007",National Directory of Nonprofit Organizations,http://latinwomensinitiative.org/,,,1,
"MANA, A National Latina Organization",1974,0,1,Latinas,"1140 19th St. NW, Ste. 550 Washington, DC 20036",National Directory of Nonprofit Organizations,https://www.hermana.org/about,,https://web.archive.org/web/20120911174134/http://www.manadeoc.org/,,
Mi Raza Community Center,2004,0,1,Hispanic/Latino population,"113 Collins Street, Arcola, IL 61910",National Directory of Nonprofit Organizations,,,https://www.immigrationproject.org/about-immigration-project/board-of-directors/,,
Quad Cities Mexican American Organization,1981,0,0,,"P.O. Box 2552 Davenport, IA 52809-2557",National Directory of Nonprofit Organizations,,,https://web.archive.org/web/20120328183012/http://www.thecolballroom.com/qcmao.html,,
La Familia Counseling Service,1975,0,1,for Latinos,"24301 Southland Drive, Suite 300, Hayward, CA 94545",National Directory of Nonprofit Organizations,https://www.lafamiliacounseling.org,,,,
Tucson League of Mexican-American Women,1967,0,0,,"P.O Box 26522, Tucson, Arizona 85722",National Directory of Nonprofit Organizations,http://www.leagueofmexicanamericanwomen.org/,,,,
United California Mexican American Association,1977,1,0,,"PO Box 1363, Porterville, CA 93258",National Directory of Nonprofit Organizations,,,http://california.14thstory.com/the-united-california-mexican-american-association.html,,