"","Year","Type2","category","Freq","Size","Percentage","Total","Category","inflated_Size"
"1",1964,"Advocacy","Latino",1,1555,1.314588124,118288,"ETES",NA
"2",1964,"CBO","Latino",2,1555,1.314588124,118288,"ETES",NA
"3",1964,"Hybrid","Latino",1,1555,1.314588124,118288,"ETES",NA
"4",1965,"CBO","Latino",1,2140,1.590699611,134532,"ETES",NA
"5",1965,"CBO","Asian",1,2140,1.590699611,134532,"ETES",NA
"6",1966,"Advocacy","Latino",1,4363,2.770792054,157464,"ETES",NA
"7",1966,"CBO","Asian",1,4363,2.770792054,157464,"ETES",NA
"8",1967,"Advocacy","Latino",1,6453,3.622553808,178134,"ETES",NA
"9",1967,"CBO","Asian",2,6453,3.622553808,178134,"ETES",NA
"10",1967,"CBO","Latino",3,6453,3.622553808,178134,"ETES",NA
"11",1968,"Advocacy","Latino",1,7634,4.157046395,183640,"ETES",NA
"12",1968,"CBO","Asian",2,7634,4.157046395,183640,"ETES",NA
"13",1968,"CBO","Latino",4,7634,4.157046395,183640,"ETES",NA
"14",1968,"Hybrid","Latino",1,7634,4.157046395,183640,"ETES",NA
"15",1969,"Advocacy","Asian",2,7548,3.857929251,195649,"ETES",NA
"16",1969,"CBO","Latino",2,7548,3.857929251,195649,"ETES",NA
"17",1969,"Hybrid","Asian",2,7548,3.857929251,195649,"ETES",NA
"18",1969,"Hybrid","Latino",2,7548,3.857929251,195649,"ETES",NA
"19",1969,"CBO","Asian",1,7548,3.857929251,195649,"ETES",NA
"20",1970,"Advocacy","Latino",1,8634,4.108063871,210172,"ETES",NA
"21",1970,"CBO","Asian",1,8634,4.108063871,210172,"ETES",NA
"22",1970,"CBO","Latino",4,8634,4.108063871,210172,"ETES",NA
"23",1971,"CBO","Asian",3,9849,4.269532385,230681,"ETES",NA
"24",1971,"Advocacy","Latino",1,9849,4.269532385,230681,"ETES",NA
"25",1971,"CBO","Latino",6,9849,4.269532385,230681,"ETES",NA
"26",1972,"Hybrid","Asian",1,12529,5.099162824,245707,"ETES",NA
"27",1972,"Advocacy","Latino",3,12529,5.099162824,245707,"ETES",NA
"28",1972,"CBO","Asian",8,12529,5.099162824,245707,"ETES",NA
"29",1972,"CBO","Latino",9,12529,5.099162824,245707,"ETES",NA
"30",1973,"CBO","Asian",2,12744,4.73140795,269349,"ETES",NA
"31",1973,"CBO","Latino",3,12744,4.73140795,269349,"ETES",NA
"32",1973,"Hybrid","Latino",1,12744,4.73140795,269349,"ETES",NA
"33",1973,"Advocacy","Asian",1,12744,4.73140795,269349,"ETES",NA
"34",1974,"Advocacy","Asian",1,12455,4.62394054,269359,"ETES",NA
"35",1974,"Advocacy","Latino",2,12455,4.62394054,269359,"ETES",NA
"36",1974,"CBO","Asian",4,12455,4.62394054,269359,"ETES",NA
"37",1974,"CBO","Latino",2,12455,4.62394054,269359,"ETES",NA
"38",1974,"Hybrid","Asian",2,12455,4.62394054,269359,"ETES",NA
"39",1974,"Hybrid","Latino",1,12455,4.62394054,269359,"ETES",NA
"40",1975,"Advocacy","Latino",1,16022,4.821082532,332332,"ETES",NA
"41",1975,"CBO","Asian",6,16022,4.821082532,332332,"ETES",NA
"42",1975,"CBO","Latino",10,16022,4.821082532,332332,"ETES",NA
"43",1975,"Hybrid","Asian",1,16022,4.821082532,332332,"ETES",NA
"44",1976,"Advocacy","Latino",2,18910,5.086177217,371792,"ETES",NA
"45",1976,"CBO","Asian",5,18910,5.086177217,371792,"ETES",NA
"46",1976,"CBO","Latino",4,18910,5.086177217,371792,"ETES",NA
"47",1976,"Advocacy","Asian",1,18910,5.086177217,371792,"ETES",NA
"48",1976,"Hybrid","Asian",1,18910,5.086177217,371792,"ETES",NA
"49",1977,"CBO","Asian",4,21104,5.1571534,409218,"ETES",NA
"50",1977,"CBO","Latino",8,21104,5.1571534,409218,"ETES",NA
"51",1977,"Hybrid","Asian",3,21104,5.1571534,409218,"ETES",NA
"52",1978,"CBO","Asian",4,26706,5.82152215,458746,"ETES",NA
"53",1978,"CBO","Latino",7,26706,5.82152215,458746,"ETES",NA
"54",1979,"Advocacy","Asian",1,30218,5.995301848,504028,"ETES",NA
"55",1979,"CBO","Asian",2,30218,5.995301848,504028,"ETES",NA
"56",1979,"Hybrid","Asian",2,30218,5.995301848,504028,"ETES",NA
"57",1979,"CBO","Latino",3,30218,5.995301848,504028,"ETES",NA
"58",1980,"CBO","Asian",2,31835,5.387170631,590941,"ETES",NA
"59",1980,"CBO","Latino",5,31835,5.387170631,590941,"ETES",NA
"60",1980,"Hybrid","Asian",2,31835,5.387170631,590941,"ETES",NA
"61",1980,"Hybrid","Latino",2,31835,5.387170631,590941,"ETES",NA
"62",1981,"Hybrid","Latino",1,33146,4.887053422,678241,"ETES",NA
"63",1981,"CBO","Asian",2,33146,4.887053422,678241,"ETES",NA
"64",1981,"CBO","Latino",1,33146,4.887053422,678241,"ETES",NA
"65",1982,"Hybrid","Latino",1,26609,3.568119312,745743,"ETES",NA
"66",1982,"Advocacy","Latino",3,26609,3.568119312,745743,"ETES",NA
"67",1982,"CBO","Asian",2,26609,3.568119312,745743,"ETES",NA
"68",1982,"CBO","Latino",5,26609,3.568119312,745743,"ETES",NA
"69",1983,"Advocacy","Latino",2,26194,3.240371912,808364,"ETES",NA
"70",1983,"CBO","Asian",2,26194,3.240371912,808364,"ETES",NA
"71",1983,"CBO","Latino",3,26194,3.240371912,808364,"ETES",NA
"72",1983,"Hybrid","Asian",1,26194,3.240371912,808364,"ETES",NA
"73",1983,"Hybrid","Latino",1,26194,3.240371912,808364,"ETES",NA
"74",1983,"Advocacy","Asian",2,26194,3.240371912,808364,"ETES",NA
"75",1984,"CBO","Asian",4,26916,3.159878141,851805,"ETES",NA
"76",1984,"CBO","Latino",5,26916,3.159878141,851805,"ETES",NA
"77",1985,"Advocacy","Asian",1,28589,3.02099448,946344,"ETES",NA
"78",1985,"Advocacy","Latino",2,28589,3.02099448,946344,"ETES",NA
"79",1985,"CBO","Latino",6,28589,3.02099448,946344,"ETES",NA
"80",1986,"Hybrid","Latino",1,29773,3.006213764,990382,"ETES",NA
"81",1986,"Advocacy","Latino",2,29773,3.006213764,990382,"ETES",NA
"82",1986,"CBO","Asian",5,29773,3.006213764,990382,"ETES",NA
"83",1986,"Hybrid","Asian",2,29773,3.006213764,990382,"ETES",NA
"84",1986,"Advocacy","Asian",2,29773,3.006213764,990382,"ETES",NA
"85",1986,"CBO","Latino",4,29773,3.006213764,990382,"ETES",NA
"86",1987,"Advocacy","Latino",1,28918,2.880230116,1004017,"ETES",NA
"87",1987,"CBO","Asian",6,28918,2.880230116,1004017,"ETES",NA
"88",1987,"CBO","Latino",3,28918,2.880230116,1004017,"ETES",NA
"89",1987,"Hybrid","Asian",3,28918,2.880230116,1004017,"ETES",NA
"90",1988,"Advocacy","Asian",1,30928,2.905630881,1064416,"ETES",NA
"91",1988,"Advocacy","Latino",2,30928,2.905630881,1064416,"ETES",NA
"92",1988,"CBO","Asian",3,30928,2.905630881,1064416,"ETES",NA
"93",1988,"CBO","Latino",4,30928,2.905630881,1064416,"ETES",NA
"94",1988,"Hybrid","Asian",1,30928,2.905630881,1064416,"ETES",NA
"95",1988,"Hybrid","Latino",1,30928,2.905630881,1064416,"ETES",NA
"96",1989,"CBO","Asian",11,35325,3.088543493,1143743,"ETES",NA
"97",1989,"CBO","Latino",10,35325,3.088543493,1143743,"ETES",NA
"98",1989,"Hybrid","Asian",1,35325,3.088543493,1143743,"ETES",NA
"99",1989,"Hybrid","Latino",1,35325,3.088543493,1143743,"ETES",NA
"100",1989,"Advocacy","Latino",2,35325,3.088543493,1143743,"ETES",NA
"101",1990,"CBO","Latino",9,37167,2.966257593,1252993,"ETES",NA
"102",1990,"Advocacy","Asian",1,37167,2.966257593,1252993,"ETES",NA
"103",1990,"Advocacy","Latino",1,37167,2.966257593,1252993,"ETES",NA
"104",1990,"CBO","Asian",3,37167,2.966257593,1252993,"ETES",NA
"105",1990,"Hybrid","Asian",4,37167,2.966257593,1252993,"ETES",NA
"106",1990,"Hybrid","Latino",3,37167,2.966257593,1252993,"ETES",NA
"107",1991,"CBO","Latino",8,41231,3.113592393,1324226,"ETES",NA
"108",1991,"Advocacy","Asian",3,41231,3.113592393,1324226,"ETES",NA
"109",1991,"Advocacy","Latino",2,41231,3.113592393,1324226,"ETES",NA
"110",1991,"Hybrid","Latino",1,41231,3.113592393,1324226,"ETES",NA
"111",1991,"CBO","Asian",3,41231,3.113592393,1324226,"ETES",NA
"112",1992,"Advocacy","Asian",1,42735,3.093311831,1381529,"ETES",NA
"113",1992,"Advocacy","Latino",1,42735,3.093311831,1381529,"ETES",NA
"114",1992,"CBO","Asian",6,42735,3.093311831,1381529,"ETES",NA
"115",1992,"CBO","Latino",10,42735,3.093311831,1381529,"ETES",NA
"116",1992,"Hybrid","Asian",2,42735,3.093311831,1381529,"ETES",NA
"117",1992,"Hybrid","Latino",2,42735,3.093311831,1381529,"ETES",NA
"118",1993,"Advocacy","Asian",3,42374,3.006557465,1409386,"ETES",NA
"119",1993,"CBO","Asian",4,42374,3.006557465,1409386,"ETES",NA
"120",1993,"CBO","Latino",8,42374,3.006557465,1409386,"ETES",NA
"121",1993,"Hybrid","Asian",1,42374,3.006557465,1409386,"ETES",NA
"122",1993,"Hybrid","Latino",2,42374,3.006557465,1409386,"ETES",NA
"123",1994,"CBO","Asian",5,43281,2.960898976,1461752,"ETES",NA
"124",1994,"CBO","Latino",9,43281,2.960898976,1461752,"ETES",NA
"125",1994,"Hybrid","Latino",1,43281,2.960898976,1461752,"ETES",NA
"126",1994,"Advocacy","Asian",2,43281,2.960898976,1461752,"ETES",NA
"127",1995,"Advocacy","Asian",1,51020,3.366008199,1515742,"ETES",NA
"128",1995,"Advocacy","Latino",2,51020,3.366008199,1515742,"ETES",NA
"129",1995,"CBO","Asian",4,51020,3.366008199,1515742,"ETES",NA
"130",1995,"CBO","Latino",6,51020,3.366008199,1515742,"ETES",NA
"131",1995,"Hybrid","Latino",1,51020,3.366008199,1515742,"ETES",NA
"132",1996,"Advocacy","Asian",3,48311,3.095898452,1560484,"ETES",NA
"133",1996,"Advocacy","Latino",4,48311,3.095898452,1560484,"ETES",NA
"134",1996,"CBO","Asian",8,48311,3.095898452,1560484,"ETES",NA
"135",1996,"CBO","Latino",9,48311,3.095898452,1560484,"ETES",NA
"136",1996,"Hybrid","Asian",2,48311,3.095898452,1560484,"ETES",NA
"137",1997,"CBO","Asian",6,48972,3.058616615,1601116,"ETES",NA
"138",1997,"CBO","Latino",11,48972,3.058616615,1601116,"ETES",NA
"139",1997,"Hybrid","Latino",3,48972,3.058616615,1601116,"ETES",NA
"140",1997,"Advocacy","Latino",3,48972,3.058616615,1601116,"ETES",NA
"141",1998,"CBO","Latino",11,50512,3.056779658,1652458,"ETES",NA
"142",1998,"Advocacy","Asian",1,50512,3.056779658,1652458,"ETES",NA
"143",1998,"Advocacy","Latino",1,50512,3.056779658,1652458,"ETES",NA
"144",1998,"CBO","Asian",9,50512,3.056779658,1652458,"ETES",NA
"145",1998,"Hybrid","Asian",1,50512,3.056779658,1652458,"ETES",NA
"146",1998,"Hybrid","Latino",1,50512,3.056779658,1652458,"ETES",NA
"147",1999,"CBO","Latino",9,50605,2.973542785,1701842,"ETES",NA
"148",1999,"Advocacy","Asian",2,50605,2.973542785,1701842,"ETES",NA
"149",1999,"Advocacy","Latino",1,50605,2.973542785,1701842,"ETES",NA
"150",1999,"Hybrid","Asian",1,50605,2.973542785,1701842,"ETES",NA
"151",1999,"Hybrid","Latino",2,50605,2.973542785,1701842,"ETES",NA
"152",1999,"CBO","Asian",6,50605,2.973542785,1701842,"ETES",NA
"153",2000,"Advocacy","Asian",4,53764,3.005338327,1788950,"ETES",NA
"154",2000,"Advocacy","Latino",4,53764,3.005338327,1788950,"ETES",NA
"155",2000,"CBO","Asian",8,53764,3.005338327,1788950,"ETES",NA
"156",2000,"CBO","Latino",10,53764,3.005338327,1788950,"ETES",NA
"157",2000,"Hybrid","Asian",3,53764,3.005338327,1788950,"ETES",NA
"158",2000,"Hybrid","Latino",4,53764,3.005338327,1788950,"ETES",NA
"159",2001,"Advocacy","Asian",1,57094,3.064880296,1862846,"ETES",NA
"160",2001,"Advocacy","Latino",1,57094,3.064880296,1862846,"ETES",NA
"161",2001,"CBO","Asian",3,57094,3.064880296,1862846,"ETES",NA
"162",2001,"CBO","Latino",9,57094,3.064880296,1862846,"ETES",NA
"163",2001,"Hybrid","Latino",4,57094,3.064880296,1862846,"ETES",NA
"164",2002,"CBO","Asian",3,70566,3.509185467,2010894,"ETES",NA
"165",2002,"CBO","Latino",10,70566,3.509185467,2010894,"ETES",NA
"166",2002,"Hybrid","Asian",2,70566,3.509185467,2010894,"ETES",NA
"167",2002,"Advocacy","Latino",3,70566,3.509185467,2010894,"ETES",NA
"168",2002,"Hybrid","Latino",1,70566,3.509185467,2010894,"ETES",NA
"169",2003,"Advocacy","Asian",1,82587,3.823651013,2159899,"ETES",NA
"170",2003,"CBO","Asian",5,82587,3.823651013,2159899,"ETES",NA
"171",2003,"CBO","Latino",13,82587,3.823651013,2159899,"ETES",NA
"172",2003,"Hybrid","Latino",1,82587,3.823651013,2159899,"ETES",NA
"173",2004,"Hybrid","Latino",2,87974,3.836899288,2292841,"ETES",NA
"174",2004,"Advocacy","Latino",3,87974,3.836899288,2292841,"ETES",NA
"175",2004,"CBO","Asian",11,87974,3.836899288,2292841,"ETES",NA
"176",2004,"Hybrid","Asian",1,87974,3.836899288,2292841,"ETES",NA
"177",2004,"Advocacy","Asian",1,87974,3.836899288,2292841,"ETES",NA
"178",2004,"CBO","Latino",12,87974,3.836899288,2292841,"ETES",NA
"179",2005,"Advocacy","Asian",1,97555,3.946468324,2471957,"ETES",NA
"180",2005,"Advocacy","Latino",4,97555,3.946468324,2471957,"ETES",NA
"181",2005,"CBO","Asian",1,97555,3.946468324,2471957,"ETES",NA
"182",2005,"CBO","Latino",9,97555,3.946468324,2471957,"ETES",NA
"183",2005,"Hybrid","Latino",3,97555,3.946468324,2471957,"ETES",NA
"184",2006,"Advocacy","Latino",1,118462,4.461761549,2655050,"ETES",NA
"185",2006,"CBO","Asian",2,118462,4.461761549,2655050,"ETES",NA
"186",2006,"CBO","Latino",11,118462,4.461761549,2655050,"ETES",NA
"187",2006,"Hybrid","Asian",1,118462,4.461761549,2655050,"ETES",NA
"188",2007,"CBO","Asian",3,91656,3.358979377,2728686,"ETES",NA
"189",2007,"Advocacy","Asian",1,91656,3.358979377,2728686,"ETES",NA
"190",2007,"CBO","Latino",8,91656,3.358979377,2728686,"ETES",NA
"191",2007,"Advocacy","Latino",4,91656,3.358979377,2728686,"ETES",NA
"192",2008,"Advocacy","Asian",2,91287,3.060709247,2982544,"ETES",NA
"193",2008,"Advocacy","Latino",3,91287,3.060709247,2982544,"ETES",NA
"194",2008,"CBO","Asian",4,91287,3.060709247,2982544,"ETES",NA
"195",2008,"CBO","Latino",7,91287,3.060709247,2982544,"ETES",NA
"196",2008,"Hybrid","Asian",2,91287,3.060709247,2982544,"ETES",NA
"197",2009,"Advocacy","Asian",1,79749,2.267092743,3517677,"ETES",NA
"198",2009,"Advocacy","Latino",1,79749,2.267092743,3517677,"ETES",NA
"199",2009,"CBO","Asian",4,79749,2.267092743,3517677,"ETES",NA
"200",2009,"CBO","Latino",12,79749,2.267092743,3517677,"ETES",NA
"201",2009,"Hybrid","Asian",1,79749,2.267092743,3517677,"ETES",NA
"202",2010,"Advocacy","Latino",1,128598,3.719202227,3457677,"ETES",NA
"203",2010,"CBO","Latino",17,128598,3.719202227,3457677,"ETES",NA
"204",2010,"CBO","Asian",3,128598,3.719202227,3457677,"ETES",NA
"205",2011,"Advocacy","Latino",2,101233,2.809640364,3603059,"ETES",NA
"206",2011,"CBO","Asian",2,101233,2.809640364,3603059,"ETES",NA
"207",2011,"CBO","Latino",8,101233,2.809640364,3603059,"ETES",NA
"208",2012,"Advocacy","Asian",2,90823,2.567833142,3536951,"ETES",NA
"209",2012,"Advocacy","Latino",1,90823,2.567833142,3536951,"ETES",NA
"210",2012,"CBO","Asian",3,90823,2.567833142,3536951,"ETES",NA
"211",2012,"CBO","Latino",6,90823,2.567833142,3536951,"ETES",NA
"212",2012,"Hybrid","Asian",1,90823,2.567833142,3536951,"ETES",NA
"213",2013,"Advocacy","Asian",3,72808,2.107538049,3454647,"ETES",NA
"214",2013,"CBO","Asian",5,72808,2.107538049,3454647,"ETES",NA
"215",2013,"CBO","Latino",6,72808,2.107538049,3454647,"ETES",NA
"216",2014,"Advocacy","Latino",3,90615,2.584503702,3506089,"ETES",NA
"217",2014,"CBO","Asian",3,90615,2.584503702,3506089,"ETES",NA
"218",2014,"CBO","Latino",19,90615,2.584503702,3506089,"ETES",NA
"219",2014,"Hybrid","Latino",3,90615,2.584503702,3506089,"ETES",NA
"220",2014,"Advocacy","Asian",1,90615,2.584503702,3506089,"ETES",NA
